activity_id,lead_id,activity_type,activity_date,activity_status,notes
1,861,SMS,2025-10-25,Completed,Customer requested more details.
2,1295,WhatsApp,2026-03-24,Completed,Customer requested more details.
3,1131,Call,2025-03-20,Pending,Discussed budget and preferred location.
4,1096,WhatsApp,2025-06-28,Failed,No response from customer.
5,1639,WhatsApp,2025-09-06,Pending,Shared available property options.
6,2170,SMS,2026-01-30,Completed,Discussed budget and preferred location.
7,467,SMS,2025-07-14,Pending,Scheduled follow-up call.
8,1239,Follow-up,2025-03-20,Failed,Sent lease and booking information.
9,331,Site Visit,2025-11-24,Pending,Sent lease and booking information.
10,1483,Email,2026-01-22,Completed,Shared available property options.
11,2136,Call,2025-02-28,Pending,Scheduled follow-up call.
12,2920,Site Visit,2026-06-26,Pending,No response from customer.
13,131,SMS,2026-01-09,Failed,Discussed budget and preferred location.
14,1686,SMS,2025-05-31,Completed,No response from customer.
15,770,Call,2026-03-18,Failed,No response from customer.
16,2392,Email,2025-01-11,Pending,Shared available property options.
17,1516,Follow-up,2025-06-16,Pending,No response from customer.
18,2854,WhatsApp,2026-06-24,Completed,Discussed budget and preferred location.
19,2434,Call,2025-12-14,Pending,No response from customer.
20,1216,WhatsApp,2025-03-20,Failed,Customer requested more details.
21,956,Document Shared,2025-03-23,Completed,No response from customer.
22,2325,Follow-up,2025-04-10,Failed,Discussed budget and preferred location.
23,1185,Site Visit,2026-06-04,Pending,Shared available property options.
24,460,Call,2026-04-23,Pending,Customer requested more details.
25,22,Email,2025-10-27,Completed,Discussed budget and preferred location.
26,2301,WhatsApp,2025-05-20,Failed,Scheduled follow-up call.
27,748,Email,2025-07-27,Pending,Scheduled follow-up call.
28,2905,Site Visit,2025-07-02,Failed,Discussed budget and preferred location.
29,475,Follow-up,2025-11-16,Failed,Discussed budget and preferred location.
30,1083,Follow-up,2025-06-14,Pending,Scheduled follow-up call.
31,2559,Document Shared,2025-08-05,Failed,Discussed budget and preferred location.
32,2048,WhatsApp,2026-04-13,Pending,No response from customer.
33,2748,Email,2025-09-13,Completed,Discussed budget and preferred location.
34,976,WhatsApp,2025-12-25,Completed,No response from customer.
35,1807,Email,2026-04-03,Completed,Shared available property options.
36,190,Follow-up,2025-08-02,Failed,Scheduled follow-up call.
37,2735,Document Shared,2025-05-05,Failed,Customer requested more details.
38,563,Site Visit,2026-04-28,Failed,Scheduled follow-up call.
